"id","word_id","form","div_book","div_chapter","div_section","orig","lemma","bgmpos","document_id"
1,"1","ἐν","Ev","3","3.1","Ἐν","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
2,"2","ἔτει","Ev","3","3.1","ἔτει","ἔτος","ndnsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
3,"3","πεντεκαιδεκάτῳ","Ev","3","3.1","πεντεκαιδεκάτῳ","πεντεκαιδέκατος","aodnsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
4,"4","τῆς","Ev","3","3.1","τῆς","ὁ","dgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
5,"5","ἡγεμονίας","Ev","3","3.1","ἡγεμονίας","ἡγεμονία","ngfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
6,"6","Τιβερίου","Ev","3","3.1","Τιβερίου","Τιβέριος","ngmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
7,"7","Καίσαρος","Ev","3","3.1","Καίσαρος","Καῖσαρ","ngmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
8,"8","ὁ","Ev","4","4.31","ὁ","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
9,"9","θεὸς","Ev","4","4.31","θεὸς","θεός","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
10,"10","κατῆλθεν","Ev","4","4.31","κατῆλθεν","κατέρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
11,"11","εἰς","Ev","4","4.31","εἰς","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
12,"12","Καπερναοὺμ","Ev","4","4.31","Καπερναοὺμ","Καφαρναούμ","nafsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
13,"-",",","Ev","4","4.31",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
14,"13","πόλιν","Ev","4","4.31","πόλιν","πόλις","nafsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
15,"14","τῆς","Ev","4","4.31","τῆς","ὁ","dgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
16,"15","Γαλιλαίας","Ev","4","4.31","Γαλιλαίας","Γαλιλαία","ngfsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
17,"-",",","Ev","4","4.31",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
18,"16","καὶ","Ev","4","4.31","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
19,"17","ἦν","Ev","4","4.31","ἦν","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
20,"18","διδάσκων","Ev","4","4.31","διδάσκων","διδάσκω","vppanms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
21,"19","ἐν","Ev","4","4.31","ἐν","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
22,"20","τοῖς","Ev","4","4.31","τοῖς","ὁ","ddnp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
23,"21","σάββασι","Ev","4","4.31","σάββασι","σάββατον","ndnpc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
24,"-",".","Ev","4","4.31",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
25,"22","καὶ","Ev","4","4.32","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
26,"23","ἐξεπλήσσοντο","Ev","4","4.32","ἐξεπλήσσοντο","ἐκπλήσσω","viip3p","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
27,"24","ἐπὶ","Ev","4","4.32","ἐπὶ","ἐπί","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
28,"25","τῇ","Ev","4","4.32","τῇ","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
29,"26","διδαχῇ","Ev","4","4.32","διδαχῇ","διδαχή","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
30,"27","αὐτοῦ","Ev","4","4.32","αὐτοῦ","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
31,"-","·","Ev","4","4.32","·","·","·","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
32,"28","ὅτι","Ev","4","4.32","ὅτι","ὅτι","cs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
33,"29","ἐν","Ev","4","4.32","ἐν","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
34,"30","ἐξουσίᾳ","Ev","4","4.32","ἐξουσίᾳ","ἐξουσία","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
35,"31","ἦν","Ev","4","4.32","ἦν","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
36,"32","ὁ","Ev","4","4.32","ὁ","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
37,"33","λόγος","Ev","4","4.32","λόγος","λόγος","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
38,"34","αὐτοῦ","Ev","4","4.32","αὐτοῦ","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
