"id","word_id","form","div_book","div_chapter","div_section","orig","lemma","bgmpos","document_id"
39,"-",".","Ev","4","4.32",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
40,"35","καὶ","Ev","4","4.33","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
41,"36","ἐν","Ev","4","4.33","ἐν","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
42,"37","τῇ","Ev","4","4.33","τῇ","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
43,"38","συναγωγῇ","Ev","4","4.33","συναγωγῇ","συναγωγή","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
44,"39","ἦν","Ev","4","4.33","ἦν","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
45,"40","ἄνθρωπος","Ev","4","4.33","ἄνθρωπος","ἄνθρωπος","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
46,"41","ἔχων","Ev","4","4.33","ἔχων","ἔχω","vppanms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
47,"42","πνεῦμα","Ev","4","4.33","πνεῦμα","πνεῦμα","nansc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
48,"43","δαιμονίου","Ev","4","4.33","δαιμονίου","δαιμόνιον","ngnsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
49,"44","ἀκαθάρτου","Ev","4","4.33","ἀκαθάρτου","ἀκάθαρτος","angnsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
50,"-",",","Ev","4","4.33",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
51,"45","καὶ","Ev","4","4.33","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
52,"46","ἀνέκραξε","Ev","4","4.33","ἀνέκραξε","ἀνακράζω","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
53,"47","φωνῇ","Ev","4","4.33","φωνῇ","φωνή","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
54,"48","μεγάλῃ","Ev","4","4.33","μεγάλῃ","μέγας","andfsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
55,"-",".","Ev","4","4.33",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
56,"49","λέγων","Ev","4","4.34","Λέγων","λέγω","vppanms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
57,"-","·","Ev","4","4.34","·","·","·","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
58,"50","ἔα","Ev","4","4.34","ἔα","ἔα","i","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
59,"-",",","Ev","4","4.34",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
60,"51","τί","Ev","4","4.34","τί","τίς","rqnns","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
61,"52","ἡμῖν","Ev","4","4.34","ἡμῖν","ἐγώ","rpd-p","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
62,"53","καὶ","Ev","4","4.34","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
63,"54","σοὶ","Ev","4","4.34","σοὶ","σύ","rpd-s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
64,"-",",","Ev","4","4.34",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
65,"55","Ἰησοῦ","Ev","4","4.34","Ἰησοῦ","Ἰησοῦς","nvmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
66,"-",";","Ev","4","4.34",";",";",";","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
67,"56","ἦλθες","Ev","4","4.34","ἦλθες","ἔρχομαι","viaa2s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
68,"57","ἀπολέσαι","Ev","4","4.34","ἀπολέσαι","ἀπόλλυμι","vnaa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
69,"58","ἡμᾶς","Ev","4","4.34","ἡμᾶς","ἐγώ","rpa-p","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
70,"-","·","Ev","4","4.34","·","·","·","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
71,"59","οἶδά","Ev","4","4.34","οἶδά","οἶδα","vixa1s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
72,"60","σε","Ev","4","4.34","σε","σύ","rpa-s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
73,"61","τίς","Ev","4","4.34","τίς","τίς","rqnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
74,"62","εἶ","Ev","4","4.34","εἶ","εἰμί","vipa2s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
75,"-",",","Ev","4","4.34",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
76,"63","ὁ","Ev","4","4.34","ὁ","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
77,"64","ἅγιος","Ev","4","4.34","ἅγιος","ἅγιος","annmsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
78,"65","τοῦ","Ev","4","4.34","τοῦ","ὁ","dgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
79,"66","θεοῦ","Ev","4","4.34","θεοῦ","θεός","ngmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
80,"-",".","Ev","4","4.34",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
81,"67","καὶ","Ev","4","4.35","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
82,"68","ἐπετίμησεν","Ev","4","4.35","ἐπετίμησεν","ἐπιτιμάω","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
83,"69","αὐτῷ","Ev","4","4.35","αὐτῷ","αὐτός","rpdns","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
84,"70","ὁ","Ev","4","4.35","ὁ","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
85,"71","Ἰησοῦς","Ev","4","4.35","Ἰησοῦς","Ἰησοῦς","nnmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
86,"72","λέγων","Ev","4","4.35","λέγων","λέγω","vppanms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
87,"-","·","Ev","4","4.35","·","·","·","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
88,"73","φιμώθητι","Ev","4","4.35","φιμώθητι","φιμόω","vdap2s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
89,"74","καὶ","Ev","4","4.35","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
90,"75","ἔξελθε","Ev","4","4.35","ἔξελθε","ἐξέρχομαι","vdaa2s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
91,"76","ἐξ","Ev","4","4.35","ἐξ","ἐκ","pg","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
92,"77","αὐτοῦ","Ev","4","4.35","αὐτοῦ","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
93,"-",".","Ev","4","4.35",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
94,"78","καὶ","Ev","4","4.35","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
95,"79","ῥῖψαν","Ev","4","4.35","ῥῖψαν","ῥίπτω","vpaanns","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
96,"80","αὐτὸν","Ev","4","4.35","αὐτὸν","αὐτός","rpams","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
97,"81","τὸ","Ev","4","4.35","τὸ","ὁ","dnns","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
98,"82","δαιμόνιον","Ev","4","4.35","δαιμόνιον","δαιμόνιον","nnnsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
99,"83","εἰς","Ev","4","4.35","εἰς","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
100,"84","μέσον","Ev","4","4.35","μέσον","μέσος","anansn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
101,"85","ἐξῆλθεν","Ev","4","4.35","ἐξῆλθεν","ἐξέρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
102,"86","ἀπὸ","Ev","4","4.35","ἀπ᾽","ἀπό","pg","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
103,"87","αὐτοῦ","Ev","4","4.35","αὐτοῦ","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
104,"88","μηδὲν","Ev","4","4.35","μηδὲν","μηδείς","rians","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
105,"89","βλάψαν","Ev","4","4.35","βλάψαν","βλάπτω","vpaanns","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
106,"90","αὐτόν","Ev","4","4.35","αὐτόν","αὐτός","rpams","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
107,"-",".","Ev","4","4.35",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
108,"91","καὶ","Ev","4","4.36","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
109,"92","ἐγένετο","Ev","4","4.36","ἐγένετο","γίνομαι","viam3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
110,"93","θάμβος","Ev","4","4.36","θάμβος","θάμβος","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
111,"94","ἐπὶ","Ev","4","4.36","ἐπὶ","ἐπί","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
112,"95","πάντας","Ev","4","4.36","πάντας","πᾶς","aiampn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
113,"-",",","Ev","4","4.36",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
114,"96","καὶ","Ev","4","4.36","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
115,"97","συνελάλουν","Ev","4","4.36","συνελάλουν","συλλαλέω","viia3p","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
116,"98","πρὸς","Ev","4","4.36","πρὸς","πρός","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
117,"99","ἀλλήλους","Ev","4","4.36","ἀλλήλους","ἀλλήλων","reamp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
118,"100","λέγοντες","Ev","4","4.36","λέγοντες","λέγω","vppanmp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
119,"-","·","Ev","4","4.36","·","·","·","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
120,"101","τίς","Ev","4","4.36","τίς","τίς","rqnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
121,"102","ὁ","Ev","4","4.36","ὁ","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
122,"103","λόγος","Ev","4","4.36","λόγος","λόγος","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
123,"104","οὗτος","Ev","4","4.36","οὗτος","οὗτος","rdnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
124,"-",",","Ev","4","4.36",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
125,"105","ὅτι","Ev","4","4.36","ὅτι","ὅτι","cs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
126,"106","ἐν","Ev","4","4.36","ἐν","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
127,"107","ἐξουσίᾳ","Ev","4","4.36","ἐξουσίᾳ","ἐξουσία","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
128,"108","καὶ","Ev","4","4.36","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
129,"109","δυνάμει","Ev","4","4.36","δυνάμει","δύναμις","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
130,"110","ἐπιτάσσει","Ev","4","4.36","ἐπιτάσσει","ἐπιτάσσω","vipa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
131,"111","τοῖς","Ev","4","4.36","τοῖς","ὁ","ddnp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
132,"112","ἀκαθάρτοις","Ev","4","4.36","ἀκαθάρτοις","ἀκάθαρτος","andnpn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
133,"113","πνεύμασιν","Ev","4","4.36","πνεύμασιν","πνεῦμα","ndnpc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
134,"-",",","Ev","4","4.36",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
135,"114","καὶ","Ev","4","4.36","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
136,"115","ἐξέρχονται","Ev","4","4.36","ἐξέρχονται","ἐξέρχομαι","vipm3p","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
137,"-",";","Ev","4","4.36",";",";",";","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
138,"116","καὶ","Ev","4","4.37","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
139,"117","ἐξεπορεύετο","Ev","4","4.37","ἐξεπορεύετο","ἐκπορεύομαι","viim3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
140,"118","ἦχος","Ev","4","4.37","ἦχος","ἦχος","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
141,"119","περὶ","Ev","4","4.37","περὶ","περί","pg","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
142,"120","αὐτοῦ","Ev","4","4.37","αὐτοῦ","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
143,"121","εἰς","Ev","4","4.37","εἰς","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
144,"122","πάντα","Ev","4","4.37","πάντα","πᾶς","aiamsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
145,"123","τόπον","Ev","4","4.37","τόπον","τόπος","namsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
146,"124","τῆς","Ev","4","4.37","τῆς","ὁ","dgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
147,"125","περιχώρου","Ev","4","4.37","περιχώρου","περίχωρος","angfsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
148,"-",".","Ev","4","4.37",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
149,"126","ἀναστὰς","Ev","4","4.38","Ἀναστὰς","ἀνίστημι","vpaanms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
150,"127","δὲ","Ev","4","4.38","δὲ","δέ","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
151,"128","ἐκ","Ev","4","4.38","ἐκ","ἐκ","pg","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
152,"129","τῆς","Ev","4","4.38","τῆς","ὁ","dgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
153,"130","συναγωγῆς","Ev","4","4.38","συναγωγῆς","συναγωγή","ngfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
154,"131","εἰσῆλθεν","Ev","4","4.38","εἰσῆλθεν","εἰσέρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
155,"132","εἰς","Ev","4","4.38","εἰς","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
156,"133","τὴν","Ev","4","4.38","τὴν","ὁ","dafs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
157,"134","οἰκίαν","Ev","4","4.38","οἰκίαν","οἰκία","nafsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
158,"135","Σίμωνος","Ev","4","4.38","Σίμωνος","Σίμων","ngmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
159,"-","·","Ev","4","4.38","·","·","·","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
160,"136","πενθερὰ","Ev","4","4.38","πενθερὰ","πενθερά","nnfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
161,"137","δὲ","Ev","4","4.38","δὲ","δέ","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
162,"138","τοῦ","Ev","4","4.38","τοῦ","ὁ","dgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
163,"139","Σίμωνος","Ev","4","4.38","Σίμωνος","Σίμων","ngmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
164,"140","ἦν","Ev","4","4.38","ἦν","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
165,"141","συνεχομένη","Ev","4","4.38","συνεχομένη","συνέχω","vpppnfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
166,"142","πυρετῷ","Ev","4","4.38","πυρετῷ","πυρετός","ndmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
167,"143","μεγάλῳ","Ev","4","4.38","μεγάλῳ","μέγας","andmsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
168,"-",",","Ev","4","4.38",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
169,"144","καὶ","Ev","4","4.38","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
170,"145","ἐρώτησαν","Ev","4","4.38","ἐρώτησαν","ἐρωτάω","viaa3p","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
171,"146","αὐτὸν","Ev","4","4.38","αὐτὸν","αὐτός","rpams","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
172,"147","περὶ","Ev","4","4.38","περὶ","περί","pg","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
173,"148","αὐτῆς","Ev","4","4.38","αὐτῆς","αὐτός","rpgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
174,"-",".","Ev","4","4.38",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
175,"149","καὶ","Ev","4","4.39","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
176,"150","ἐπιστὰς","Ev","4","4.39","ἐπιστὰς","ἐφίστημι","vpaanms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
177,"151","ἐπάνω","Ev","4","4.39","ἐπάνω","ἐπάνω","pg","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
178,"152","αὐτῆς","Ev","4","4.39","αὐτῆς","αὐτός","rpgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
179,"153","ἐπετίμησε","Ev","4","4.39","ἐπετίμησε","ἐπιτιμάω","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
180,"154","τῷ","Ev","4","4.39","τῷ","ὁ","ddms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
181,"155","πυρετῷ","Ev","4","4.39","πυρετῷ","πυρετός","ndmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
182,"-",",","Ev","4","4.39",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
183,"156","καὶ","Ev","4","4.39","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
184,"157","ἀφῆκεν","Ev","4","4.39","ἀφῆκεν","ἀφίημι","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
185,"158","αὐτήν","Ev","4","4.39","αὐτήν","αὐτός","rpafs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
186,"-",".","Ev","4","4.39",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
187,"159","παραχρῆμα","Ev","4","4.39","παραχρῆμα","παραχρῆμα","b","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
188,"160","δὲ","Ev","4","4.39","δὲ","δέ","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
189,"161","ἀναστᾶσα","Ev","4","4.39","ἀναστᾶσα","ἀνίστημι","vpaanfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
190,"162","διηκόνει","Ev","4","4.39","διηκόνει","διακονέω","viia3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
191,"163","αὐτοῖς","Ev","4","4.39","αὐτοῖς","αὐτός","rpdmp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
192,"-",".","Ev","4","4.39",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
193,"164","καὶ","Ev","4","4.16","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
194,"165","ἦλθεν","Ev","4","4.16","ἦλθεν","ἔρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
195,"166","εἰς","Ev","4","4.16","εἰς","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
196,"167","τὴν","Ev","4","4.16","τὴν","ὁ","dafs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
197,"168","Ναζαρὲτ","Ev","4","4.16","Ναζαρὲτ","Ναζαρά","nafsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
198,"-",",","Ev","4","4.16",",",",",",","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
199,"169","καὶ","Ev","4","4.16","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
200,"170","εἰσῆλθεν","Ev","4","4.16","εἰσῆλθεν","εἰσέρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
201,"171","εἰς","Ev","4","4.16","εἰς","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
202,"172","τὴν","Ev","4","4.16","τὴν","ὁ","dafs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
203,"173","συναγωγήν","Ev","4","4.16","συναγωγήν","συναγωγή","nafsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
204,"-",".","Ev","4","4.16",".",".",".","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
205,"174","καὶ","Ev","4","4.20","Καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
206,"175","ἐκάθισε","Ev","4","4.20","ἐκάθισε","καθίζω","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
