"Work","Chapter","Verse","Version","Script" 
"Gal","02","21","03AH","[οὐ@b ἀθετέω@vipa1s ὁ@dafs χάρις@nafsc ὁ@dgms θεός@ngmsc εἰ@cs γάρ@cc διά@pg νόμος@ngmsc δικαιοσύνη@nnfsc ἄρα@x Χριστός@nnmsp δωρεάν@b ἀποθνῄσκω@viaa3s]" 
"Gal","03","01","03AH","[ὦ@i ἀνόητος@anvmpn Γαλάτης@nvmpp τίς@rqnms σύ@rpa-p βασκαίνω@viaa3s ὅς@rrdmp κατά@pa ὀφθαλμός@nampc Ἰησοῦς@nnmsp Χριστός@nnmsp προγράφω@viap3s σταυρόω@vpxpnms]" 
"Gal","03","02","03AH","[οὗτος@rdans μόνος@anansn θέλω@vipa1s μανθάνω@vnaa ἀπό@pg σύ@rpg-p ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ὁ@dans πνεῦμα@nansc λαμβάνω@viaa2p ἤ@cc ἐκ@pg ἀκοή@ngfsc πίστις@ngfsc]" 
"Gal","03","03","03AH","[οὕτω@b ἀνόητος@annmpn εἰμί@vipa2p ἐνάρχομαι@vpamnmp πνεῦμα@ndnsc νῦν@b σάρξ@ndfsc ἐπιτελέω@vipe2p]" 
"Gal","03","04","03AH","[τοσοῦτος@adanpn πάσχω@viaa2p εἰκῇ@b εἰ@cs γέ@x καί@b εἰκῇ@b]" 
"Gal","03","05","03AH","[ὁ@dnms οὖν@cc ἐπιχορηγέω@vppanms σύ@rpd-p ὁ@dans πνεῦμα@nansc καί@cc ἐνεργέω@vppanms δύναμις@nafpc ἐν@pd σύ@rpd-p ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ἤ@cc ἐκ@pg ἀκοή@ngfsc πίστις@ngfsc]" 
"Gal","03","11","03AH","μανθάνω@vdaa2p ὅτι@cs ὁ@dnms δίκαιος@annmsn ἐκ@pg πίστις@ngfsc ζάω@vifm3s" 
"Gal","03","10","03AH","ὅσος@rrnmp γάρ@cc ὑπό@pa νόμος@namsc ὑπό@pa κατάρα@nafsc εἰμί@vipa3p" 
"Gal","03","12","03AH","ὁ@dnms δέ@cc ποιέω@vpaanms αὐτός@rpanp ζάω@vifm3s ἐν@pd αὐτός@rpdnp" 
"Gal","03","13","03AH","Χριστός@nnmsp ἐγώ@rpa-p ἐξαγοράζω@viaa3s ἐκ@pg ὁ@dgfs κατάρα@ngfsc ὁ@dgms νόμος@ngmsc γίνομαι@vpamnms ὑπέρ@pg ἐγώ@rpg-p κατάρα@nnfsc ὅτι@cs γράφω@vixp3s ἐπικατάρατος@annmsn πᾶς@ainmsn ὁ@dnms κρεμάννυμι@vpppnms ἐπί@pg ξύλον@ngnsc" 
"Gal","03","14b","03AH","λαμβάνω@viaa1p οὖν@cc ὁ@dafs εὐλογία@nafsc ὁ@dgns πνεῦμα@ngnsc διά@pg ὁ@dgfs πίστις@ngfsc" 
"Gal","03","26","03AH","πᾶς@ainmpn γάρ@cc υἱός@nnmpc θεός@ngmsc εἰμί@vipa2p διά@pg ὁ@dgfs πίστις@ngfsc" 
"Gal","03","27","03AH","[ὅσος@rrnmp γάρ@cc εἰς@pa Χριστός@namsp βαπτίζω@viap2p Χριστός@namsp ἐνδύω@viam2p]" 
"Gal","03","28","03AH","[οὐ@b ἔνειμι@vipa3s Ἰουδαῖος@annmsn οὐδέ@cc Ἕλλην@nnmsp οὐ@b ἔνειμι@vipa3s δοῦλος@nnmsc οὐδέ@cc ἐλεύθερος@annmsn οὐ@b ἔνειμι@vipa3s ἄρσην@annnsn καί@cc θῆλυς@annnsn πᾶς@ainmpn γάρ@cc σύ@rpn-p εἷς@acnmsn εἰμί@vipa2p ἐν@pd Χριστός@ndmsp Ἰησοῦς@ndmsp]" 
