"book","chapter","verse","edition","text"
"Gal","2","04","3.03","διά@pa ὁ@damp παρείσακτος@anampn ψευδάδελφος@nampc ὅστις@rrnmp παρεισέρχομαι@viaa3p κατασκοπέω@vnaa ὁ@dafs ἐλευθερία@nafsc ἐγώ@rpg-p ὅς@rrafs ἔχω@vipa1p ἐν@pd Χριστός@ndmsp ἵνα@cs ἐγώ@rpa-p καταδουλόω@vifa3p"
"Gal","2","05","3.03","οὐδέ@b πρός@pa ὥρα@nafsc εἴκω@viaa1p ὁ@ddfs ὑποταγή@ndfsc ἵνα@cs ὁ@dnfs ἀλήθεια@nnfsc ὁ@dgns εὐαγγέλιον@ngnsc διαμένω@vsaa3s πρός@pa σύ@rpa-p"
"Gal","2","09b","3.03","Πέτρος@nnmsp καί@cc Ἰάκωβος@nnmsp καί@cc Ἰωάννης@nnmsp [ὁ@dnmp δοκέω@vppanmp στῦλος@nnmpc εἰμί@vnpa] δεξιός@anafpn δίδωμι@viaa3p ἐγώ@rpd-s ἵνα@cs ἐγώ@rpn-s εἰς@pa ὁ@danp ἔθνος@nanpc αὐτός@rtnmp δέ@cc εἰς@pa ὁ@dafs περιτομή@nafsc"
"Gal","2","10","3.03","μόνος@b ὁ@dgmp πτωχός@angmpn ἵνα@cs μνημονεύω@vspa1p"
"Gal","2","11","3.03","[ὅτε@cs δέ@cc ἔρχομαι@viaa3s] Πέτρος@nnmsp [εἰς@pa Ἀντιόχεια@nafsp] κατά@pa πρόσωπον@nansc [αὐτός@rpdms ἀνθίστημι@viaa1s ὅτι@cs καταγινώσκω@vpxpnms εἰμί@viia3s]"
"Gal","2","12","3.03","[πρό@pg ὁ@dgns γάρ@cc ἔρχομαι@vnaa τὶς@riamp ἀπό@pg Ἰάκωβος@ngmsp μετά@pg ὁ@dgnp ἔθνος@ngnpc συνεσθίω@viia3s ὅτε@cs δέ@cc ἔρχομαι@viaa3p ὑποστέλλω@viia3s καί@cc ἀφορίζω@viia3s ἑαυτοῦ@rxams] φοβέω@vppmnms ὁ@damp ἐκ@pg περιτομή@ngfsc"
"Gal","2","13","3.03","[καί@cc συνυποκρίνομαι@viap3p αὐτός@rpdms καί@b ὁ@dnmp λοιπός@annmpn Ἰουδαῖος@annmpn ὥστε@cs καί@b Βαρναβᾶς@nnmsp συναπάγω@viap3s αὐτός@rpgmp ὁ@ddfs ὑπόκρισις@ndfsc]"
"Gal","2","14","3.03","[ἀλλά@cc ὅτε@cs ὁράω@viaa1s ὅτι@cs] οὐ@b (ὀρθοποδέω@vipa3p) [] πρός@pa ὁ@dafs ἀλήθεια@nafsc ὁ@dgns εὐαγγέλιον@ngnsc [λέγω@viaa1s ὁ@ddms Κηφᾶς@ndmsp ἔμπροσθεν@pg πᾶς@aigmpn εἰ@cs σύ@rpn-s Ἰουδαῖος@annmsn ὑπάρχω@vppanms ἐθνικῶς@b καί@cc οὐχί@b Ἰουδαϊκῶς@b ζάω@vipa2s πῶς@b ὁ@danp ἔθνος@nanpc ἀναγκάζω@vipa2s Ἰουδαΐζω@vnpa]"
"Gal","2","15","3.03","[ἐγώ@rpn-p φύσις@ndfsc Ἰουδαῖος@annmpn καί@cc οὐ@b ἐκ@pg ἔθνος@ngnpc ἁμαρτωλός@annmpn]"
"Gal","2","16","3.03","[οἶδα@vpxanmp δέ@cc ὅτι@cs] οὐ@b δικαιόω@vipp3s ἄνθρωπος@nnmsc ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ἐάν@cs μή@x () διά@pg πίστις@ngfsc [Χριστός@ngmsp Ἰησοῦς@ngmsp καί@b ἐγώ@rpn-p εἰς@pa Χριστός@namsp Ἰησοῦς@namsp πιστεύω@viaa1p ἵνα@cs δικαιόω@vsap1p ἐκ@pg πίστις@ngfsc Χριστός@ngmsp καί@cc οὐ@b ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ὅτι@cs ἐκ@pg ἔργον@ngnpc νόμος@ngmsc οὐ@b δικαιόω@vifp3s πᾶς@ainfsn σάρξ@nnfsc]"
"Gal","2","17","3.03","[εἰ@cs δέ@cc ζητέω@vppanmp δικαιόω@vnap ἐν@pd Χριστός@ndmsp εὑρίσκω@viap1p καί@b αὐτός@rtnmp ἁμαρτωλός@annmpn ἆρα@x Χριστός@nnmsp ἁμαρτία@ngfsc διάκονος@nnmsc μή@x γίνομαι@voam3s]"
"Gal","2","18","3.03","εἰ@cs γάρ@cc ὅς@rranp καταλύω@viaa1s οὗτος@rdanp πάλιν@b οἰκοδομέω@vipa1s [παραβάτης@namsc ἐμαυτοῦ@rxams συνίστημι@vipa1s]"
"Gal","2","19","3.03","[ἐγώ@rpn-s γάρ@cc διά@pg νόμος@ngmsc νόμος@ndmsc ἀποθνῄσκω@viaa1s ἵνα@cs θεός@ndmsc ζάω@vsaa1s Χριστός@ndmsp συσταυρόω@vixp1s]"
