"div_chapter","div_section","id","word_id","form","nlform","bgm","lemma","bgmpos","document_id"
"3","3.1",1,"1","Ἐν","ἐν","ἐν@pd","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",2,"2","τῷ","τῷ","ὁ@ddns","ὁ","ddns","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",3,"3","ιε'","ιε'","πεντεκαιδέκατος@aodnsn","πεντεκαιδέκατος","aodnsn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",4,"4","ἔτει","ἔτει","ἔτος@ndnsc","ἔτος","ndnsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",5,"5","Τιβερίου","Τιβερίου","Τιβέριος@ngmsp","Τιβέριος","ngmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",6,"6","Καίσαρος","Καίσαρος","Καῖσαρ@ngmsp","Καῖσαρ","ngmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",7,"7","ἐπι","ἐπι","ἐπί@pg","ἐπί","pg","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",8,"8","τῶν","τῶν","ὁ@dgmp","ὁ","dgmp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",9,"9","χρόνων","χρόνων","χρόνος@ngmpc","χρόνος","ngmpc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"3","3.1",10,"10","Πιλάτου","Πιλάτου","Πιλᾶτος@ngmsp","Πιλᾶτος","ngmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",11,"11","κατῆλθεν","κατῆλθεν","κατέρχομαι@viaa3s","κατέρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",12,"12","ὁ","ὁ","ὁ@dnms","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",13,"13","Ἰησοῦς","Ἰησοῦς","Ἰησοῦς@nnmsp","Ἰησοῦς","nnmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",14,"14","εἰς","εἰς","εἰς@pa","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",15,"15","Καφαρναοὺμ","Καφαρναοὺμ","Καφαρναούμ@nafsp","Καφαρναούμ","nafsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",16,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",17,"16","καὶ","καὶ","καί@cc","καί","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",18,"17","ἦν","ἦν","εἰμί@viia3s","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",19,"18","διδάσκων","διδάσκων","διδάσκω@vppanms","διδάσκω","vppanms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",20,"19","ἐν","ἐν","ἐν@pd","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",21,"20","τῇ","τῇ","ὁ@ddfs","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",22,"21","συναγωγῇ","συναγωγῇ","συναγωγή@ndfsc","συναγωγή","ndfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.31",23,"-","·","·","-","·","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",24,"22","ἐξεπλήσσοντο","ἐξεπλήσσοντο","ἐκπλήσσω@viip3p","ἐκπλήσσω","viip3p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",25,"23","δὲ","δὲ","δέ@cc","δέ","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",26,"24","πάντες","πάντες","πᾶς@ainmpn","πᾶς","ainmpn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",27,"25","ἐπὶ","ἐπὶ","ἐπί@pd","ἐπί","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",28,"26","τῇ","τῇ","ὁ@ddfs","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",29,"27","διδαχῆ","διδαχῆ","διδαχή@ndfsc","διδαχή","ndfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",30,"28","αὐτοῦ","αὐτοῦ","αὐτός@rpgms","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",31,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",32,"29","ὅτι","ὅτι","ὅτι@cs","ὅτι","cs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",33,"30","ἐν","ἐν","ἐν@pd","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",34,"31","ἐξουσίᾳ","ἐξουσίᾳ","ἐξουσία@ndfsc","ἐξουσία","ndfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",35,"32","ἦν","ἦν","εἰμί@viia3s","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",36,"33","ὁ","ὁ","ὁ@dnms","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",37,"34","λόγος","λόγος","λόγος@nnmsc","λόγος","nnmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",38,"35","αὐτου","αὐτου","αὐτός@rpgms","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.32",39,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",40,"36","τί","τί","τίς@rqnns","τίς","rqnns","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",41,"37","ἡμῖν","ἡμῖν","ἐγώ@rpd-p","ἐγώ","rpd-p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",42,"38","καὶ","καὶ","καί@cc","καί","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",43,"39","σοί","σοί","σύ@rpd-s","σύ","rpd-s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",44,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",45,"40","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς@nvmsp","Ἰησοῦς","nvmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",46,"-",";",";","-",";","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",47,"41","ἦλθες","ἦλθες","ἔρχομαι@viaa2s","ἔρχομαι","viaa2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",48,"42","ἀπολέσαι","ἀπολέσαι","ἀπόλλυμι@vnaa","ἀπόλλυμι","vnaa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",49,"43","ἡμᾶς","ἡμᾶς","ἐγώ@rpa-p","ἐγώ","rpa-p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",50,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",51,"44","οἶδα","οἶδα","οἶδα@vixa1s","οἶδα","vixa1s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",52,"45","τίς","τίς","τίς@rqnms","τίς","rqnms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",53,"46","εἶ","εἶ","εἰμί@vipa2s","εἰμί","vipa2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
