"div_chapter","div_section","id","word_id","form","nlform","bgm","lemma","bgmpos","document_id"
"4","4.34",54,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",55,"47","ὁ","ὁ","ὁ@dnms","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",56,"48","ἅγιος","ἅγιος","ἅγιος@annmsn","ἅγιος","annmsn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",57,"49","τοῦ","τοῦ","ὁ@dgms","ὁ","dgms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",58,"50","θεοῦ","θεοῦ","θεός@ngmsc","θεός","ngmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.34",59,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.35",60,"51","ἐπετίμησεν","ἐπετίμησεν","ἐπιτιμάω@viaa3s","ἐπιτιμάω","viaa3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.35",61,"52","αὐτῷ","αὐτῷ","αὐτός@rpdns","αὐτός","rpdns","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.35",62,"53","ὁ","ὁ","ὁ@dnms","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.35",63,"54","Ἰησοῦς","Ἰησοῦς","Ἰησοῦς@nnmsp","Ἰησοῦς","nnmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.35",64,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",65,"55","ἐλθὼν","ἐλθὼν","ἔρχομαι@vpaanms","ἔρχομαι","vpaanms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",66,"56","δὲ","δὲ","δέ@cc","δέ","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",67,"57","εἰς","εἰς","εἰς@pa","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",68,"58","Ναζαρέθ","Ναζαρέθ","Ναζαρά@nafsp","Ναζαρά","nafsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",69,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",70,"59","ὅπου","ὅπου","ὅπου@cs","ὅπου","cs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",71,"60","ἦν","ἦν","εἰμί@viia3s","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",72,"61","κατὰ","κατὰ","κατά@pa","κατά","pa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",73,"62","τὸ","τὸ","ὁ@dans","ὁ","dans","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",74,"63","εἰωθός","εἰωθός","εἴωθα@vpxaans","εἴωθα","vpxaans","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",75,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",76,"64","ἐν","ἐν","ἐν@pd","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",77,"65","τῇ","τῇ","ὁ@ddfs","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",78,"66","ἡμέρᾳ","ἡμέρᾳ","ἡμέρα@ndfsc","ἡμέρα","ndfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",79,"67","τῶν","τῶν","ὁ@dgnp","ὁ","dgnp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",80,"68","σαββάτων","σαββάτων","σάββατον@ngnpc","σάββατον","ngnpc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",81,"69","εἰς","εἰς","εἰς@pa","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",82,"70","τὴν","τὴν","ὁ@dafs","ὁ","dafs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",83,"71","συναγωγὴν","συναγωγὴν","συναγωγή@nafsc","συναγωγή","nafsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.16",84,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.23",85,"72","ἰατρέ","ἰατρέ","ἰατρός@nvmsc","ἰατρός","nvmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.23",86,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.23",87,"73","θεράπευσον","θεράπευσον","θεραπεύω@vdaa2s","θεραπεύω","vdaa2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.23",88,"74","σεαυτόν","σεαυτόν","σεαυτοῦ@rxams","σεαυτοῦ","rxams","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.23",89,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",90,"75","ἐξέβαλον","ἐξέβαλον","ἐκβάλλω@viaa3p","ἐκβάλλω","viaa3p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",91,"76","αὐτόν","αὐτόν","αὐτός@rpams","αὐτός","rpams","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",92,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",93,"77","ἤγαγον","ἤγαγον","ἄγω@viaa3p","ἄγω","viaa3p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",94,"78","αὐτὸν","αὐτὸν","αὐτός@rpams","αὐτός","rpams","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",95,"79","ἕως","ἕως","ἕως@pg","ἕως","pg","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",96,"80","τῆς","τῆς","ὁ@dgfs","ὁ","dgfs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",97,"81","ὀφρύος","ὀφρύος","ὀφρύς@ngfsc","ὀφρύς","ngfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",98,"82","τοῦ","τοῦ","ὁ@dgns","ὁ","dgns","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",99,"83","ὄρους","ὄρους","ὄρος@ngnsc","ὄρος","ngnsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.29",100,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.30",101,"84","διὰ","διὰ","διά@pg","διά","pg","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.30",102,"85","μέσου","μέσου","μέσος@angnsn","μέσος","angnsn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.30",103,"86","αὐτῶν","αὐτῶν","αὐτός@rpgmp","αὐτός","rpgmp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.30",104,"87","ἐπορεύετο","ἐπορεύετο","πορεύομαι@viim3s","πορεύομαι","viim3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.30",105,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",106,"88","ἐξήρχετο","ἐξήρχετο","ἐξέρχομαι@viim3s","ἐξέρχομαι","viim3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",107,"89","δαιμόνια","δαιμόνια","δαιμόνιον@nnnpc","δαιμόνιον","nnnpc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",108,"90","κράζοντα","κράζοντα","κράζω@vppannp","κράζω","vppannp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",109,"-","·","·","-","·","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",110,"91","Σὺ","σὺ","σύ@rpn-s","σύ","rpn-s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",111,"92","εἶ","εἶ","εἰμί@vipa2s","εἰμί","vipa2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",112,"93","ὁ","ὁ","ὁ@dnms","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",113,"94","υἱὸς","υἱὸς","υἱός@nnmsc","υἱός","nnmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",114,"95","τοῦ","τοῦ","ὁ@dgms","ὁ","dgms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",115,"96","θεοῦ","θεοῦ","θεός@ngmsc","θεός","ngmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",116,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",117,"97","ἐπιτιμῶν","ἐπιτιμῶν","ἐπιτιμάω@vppanms","ἐπιτιμάω","vppanms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",118,"98","οὐκ","οὐκ","οὐ@b","οὐ","b","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",119,"99","εἴα","εἴα","ἐάω@viia3s","ἐάω","viia3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",120,"100","αὐτὰ","αὐτὰ","αὐτός@rpanp","αὐτός","rpanp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",121,"101","λαλεῖν","λαλεῖν","λαλέω@vnpa","λαλέω","vnpa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.41",122,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.42",123,"102","ἐπορεύθη","ἐπορεύθη","πορεύομαι@viap3s","πορεύομαι","viap3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.42",124,"103","εἰς","εἰς","εἰς@pa","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.42",125,"104","ἔρημον","ἔρημον","ἔρημος@anamsn","ἔρημος","anamsn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.42",126,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.42",127,"105","κατεῖχον","κατεῖχον","κατέχω@viia3p","κατέχω","viia3p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.42",128,"106","αὐτόν","αὐτόν","αὐτός@rpams","αὐτός","rpams","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.42",129,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",130,"107","Δεῖ","δεῖ","δεῖ@vipa3s","δεῖ","vipa3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",131,"108","με","με","ἐγώ@rpa-s","ἐγώ","rpa-s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",132,"109","καὶ","καὶ","καί@b","καί","b","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",133,"110","ταῖς","ταῖς","ὁ@ddfp","ὁ","ddfp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",134,"111","ἄλλαις","ἄλλαις","ἄλλος@aidfpn","ἄλλος","aidfpn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",135,"112","πόλεσιν","πόλεσιν","πόλις@ndfpc","πόλις","ndfpc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",136,"113","εὐαγγελίσασθαι","εὐαγγελίσασθαι","εὐαγγελίζω@vnam","εὐαγγελίζω","vnam","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",137,"114","τὴν","τὴν","ὁ@dafs","ὁ","dafs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",138,"115","βασιλείαν","βασιλείαν","βασιλεία@nafsc","βασιλεία","nafsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",139,"116","τοῦ","τοῦ","ὁ@dgms","ὁ","dgms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",140,"117","θεοῦ","θεοῦ","θεός@ngmsc","θεός","ngmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"4","4.43",141,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.3",142,"118","Σίμων","Σίμων","Σίμων@nnmsp","Σίμων","nnmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.3",143,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.9",144,"119","θάμβος","θάμβος","θάμβος@nnmsc","θάμβος","nnmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.9",145,"120","ἐπὶ","ἐπὶ","ἐπί@pd","ἐπί","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.9",146,"121","τῇ","τῇ","ὁ@ddfs","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.9",147,"122","ἄγρᾳ","ἄγρᾳ","ἄγρα@ndfsc","ἄγρα","ndfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.9",148,"123","τῶν","τῶν","ὁ@dgmp","ὁ","dgmp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.9",149,"124","ἰχθύων","ἰχθύων","ἰχθύς@ngmpc","ἰχθύς","ngmpc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.9",150,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",151,"125","υἱοὺς","υἱοὺς","υἱός@nampc","υἱός","nampc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",152,"126","Ζεβεδαίου","Ζεβεδαίου","Ζεβεδαῖος@ngmsp","Ζεβεδαῖος","ngmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",153,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",154,"127","μὴ","μὴ","μή@x","μή","x","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",155,"128","φοβοῦ","φοβοῦ","φοβέω@vdpm2s","φοβέω","vdpm2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",156,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",157,"129","ἀπὸ","ἀπὸ","ἀπό@pg","ἀπό","pg","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",158,"130","τοῦ","τοῦ","ὁ@dgms","ὁ","dgms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",159,"131","νῦν","νῦν","νῦν@b","νῦν","b","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",160,"132","γὰρ","γὰρ","γάρ@cc","γάρ","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",161,"133","ἀνθρώπους","ἀνθρώπους","ἄνθρωπος@nampc","ἄνθρωπος","nampc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",162,"134","ἔσῃ","ἔσῃ","εἰμί@vifm2s","εἰμί","vifm2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",163,"135","ζωγρῶν","ζωγρῶν","ζωγρέω@vppanms","ζωγρέω","vppanms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.10",164,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.11",165,"136","ἀφέντες","ἀφέντες","ἀφίημι@vpaanmp","ἀφίημι","vpaanmp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.11",166,"137","ἠκολούθησαν","ἠκολούθησαν","ἀκολουθέω@viaa3p","ἀκολουθέω","viaa3p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.11",167,"138","αὐτῷ","αὐτῷ","αὐτός@rpdms","αὐτός","rpdms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.11",168,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.12",169,"139","ἀνὴρ","ἀνὴρ","ἀνήρ@nnmsc","ἀνήρ","nnmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.12",170,"140","λεπρός","λεπρός","λέπρα@ngfsc","λέπρα","ngfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.12",171,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.13",172,"141","ἥψατο","ἥψατο","ἅπτω@viam3s","ἅπτω","viam3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.13",173,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",174,"142","ἄπελθε","ἄπελθε","ἀπέρχομαι@vdaa2s","ἀπέρχομαι","vdaa2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",175,"143","δεῖξον","δεῖξον","δείκνυμι@vdaa2s","δείκνυμι","vdaa2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",176,"144","σεαυτὸν","σεαυτὸν","σεαυτοῦ@rxams","σεαυτοῦ","rxams","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",177,"145","τῷ","τῷ","ὁ@ddms","ὁ","ddms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",178,"146","ἱερεῖ","ἱερεῖ","ἱερεύς@ndmsc","ἱερεύς","ndmsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",179,"147","καὶ","καὶ","καί@cc","καί","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",180,"148","προσένεγκε","προσένεγκε","προσφέρω@vdaa2s","προσφέρω","vdaa2s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",181,"149","τὸ","τὸ","ὁ@dans","ὁ","dans","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",182,"150","δῶρον","δῶρον","δῶρον@nansc","δῶρον","nansc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",183,"151","ὃ","ὃ","ὅς@rrans","ὅς","rrans","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",184,"152","προσέταξεν","προσέταξεν","προστάσσω@viaa3s","προστάσσω","viaa3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",185,"153","Μωϋσῆς","Μωϋσῆς","Μωϋσῆς@nnmsp","Μωϋσῆς","nnmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",186,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",187,"154","ἵνα","ἵνα","ἵνα@cs","ἵνα","cs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
"5","5.14",188,"155","ᾖ","ᾖ","εἰμί@vspa3s","εἰμί","vspa3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
