"div_chapter","div_section","id","word_id","form","nlform","bgm","lemma","bgmpos","document_id"
"3","3.1",1,"1","Ἐν","ἐν","ἐν@pd","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"3","3.1",2,"2","ἔτει","ἔτει","ἔτος@ndnsc","ἔτος","ndnsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"3","3.1",3,"3","πεντεκαιδεκάτῳ","πεντεκαιδεκάτῳ","πεντεκαιδέκατος@aodnsn","πεντεκαιδέκατος","aodnsn","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"3","3.1",4,"4","τῆς","τῆς","ὁ@dgfs","ὁ","dgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"3","3.1",5,"5","ἡγεμονίας","ἡγεμονίας","ἡγεμονία@ngfsc","ἡγεμονία","ngfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"3","3.1",6,"6","Τιβερίου","Τιβερίου","Τιβέριος@ngmsp","Τιβέριος","ngmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"3","3.1",7,"7","Καίσαρος","Καίσαρος","Καῖσαρ@ngmsp","Καῖσαρ","ngmsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",8,"8","ὁ","ὁ","ὁ@dnms","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",9,"9","θεὸς","θεὸς","θεός@nnmsc","θεός","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",10,"10","κατῆλθεν","κατῆλθεν","κατέρχομαι@viaa3s","κατέρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",11,"11","εἰς","εἰς","εἰς@pa","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",12,"12","Καπερναοὺμ","Καπερναοὺμ","Καφαρναούμ@nafsp","Καφαρναούμ","nafsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",13,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",14,"13","πόλιν","πόλιν","πόλις@nafsc","πόλις","nafsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",15,"14","τῆς","τῆς","ὁ@dgfs","ὁ","dgfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",16,"15","Γαλιλαίας","Γαλιλαίας","Γαλιλαία@ngfsp","Γαλιλαία","ngfsp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",17,"-",",",",","-",",","-","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",18,"16","καὶ","καὶ","καί@cc","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",19,"17","ἦν","ἦν","εἰμί@viia3s","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",20,"18","διδάσκων","διδάσκων","διδάσκω@vppanms","διδάσκω","vppanms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",21,"19","ἐν","ἐν","ἐν@pd","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",22,"20","τοῖς","τοῖς","ὁ@ddnp","ὁ","ddnp","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",23,"21","σάββασι","σάββασι","σάββατον@ndnpc","σάββατον","ndnpc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.31",24,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",25,"22","Καὶ","καὶ","καί@cc","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",26,"23","ἐξεπλήσσοντο","ἐξεπλήσσοντο","ἐκπλήσσω@viip3p","ἐκπλήσσω","viip3p","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",27,"24","ἐπὶ","ἐπὶ","ἐπί@pd","ἐπί","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",28,"25","τῇ","τῇ","ὁ@ddfs","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",29,"26","διδαχῇ","διδαχῇ","διδαχή@ndfsc","διδαχή","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",30,"27","αὐτοῦ","αὐτοῦ","αὐτός@rpgms","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",31,"-","·","·","-","·","-","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",32,"28","ὅτι","ὅτι","ὅτι@cs","ὅτι","cs","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",33,"29","ἐν","ἐν","ἐν@pd","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",34,"30","ἐξουσίᾳ","ἐξουσίᾳ","ἐξουσία@ndfsc","ἐξουσία","ndfsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",35,"31","ἦν","ἦν","εἰμί@viia3s","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",36,"32","ὁ","ὁ","ὁ@dnms","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",37,"33","λόγος","λόγος","λόγος@nnmsc","λόγος","nnmsc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",38,"34","αὐτοῦ","αὐτοῦ","αὐτός@rpgms","αὐτός","rpgms","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.32",39,"-",".",".","-",".","-","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
"4","4.33",40,"35","Καὶ","καὶ","καί@cc","καί","cc","urn:cts:greekLit:tlg2958.tlg00201-src-grc1"
